gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Fap,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gga2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,20,NULL,NULL,NULL
Adcy9,NULL,9,10,NULL,NULL,NULL,NULL,NULL,5,11,NULL,NULL
Aga,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aqp9,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,7,NULL,NULL,NULL
Atox1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Bcat1,NULL,NULL,NULL,NULL,19,NULL,NULL,8,NULL,NULL,NULL,NULL
Bnip3l,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Calu,NULL,NULL,4,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Cdc34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Cdc5l,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Celf2,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Chka,21,NULL,NULL,NULL,NULL,18,19,21,22,NULL,NULL,NULL
Acacb,NULL,10,12,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,16
Cpox,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Dock2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Emcn,19,NULL,16,NULL,NULL,NULL,NULL,22,NULL,4,NULL,NULL
Prkar1b,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Ptbp2,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,6,NULL,NULL,NULL
Ptprn2,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rad18,NULL,NULL,NULL,NULL,NULL,8,10,NULL,NULL,NULL,NULL,8
Ramp1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mbl1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Myo9b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Slco1b2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL
Sntb2,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,18
Ss18,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Stx7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,14,NULL,NULL
Tnfrsf19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,0,3,NULL
Tpm1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Papss2,NULL,16,18,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,17
Pelp1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Insig1,NULL,NULL,NULL,NULL,7,2,NULL,20,19,NULL,1,NULL
Lasp1,0,0,NULL,NULL,NULL,22,NULL,NULL,23,NULL,NULL,NULL
Ldlrap1,NULL,8,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il13ra1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,1,NULL,NULL
Irgm1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Lgals3bp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
