gene_symbol,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Des,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Lipc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Nr1h3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Ucp2,NULL,NULL,NULL,12,NULL,10,NULL,NULL,NULL,9,NULL,NULL
Timp2,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,10,2,NULL
Stat4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Fcer1g,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Casr,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notch2,NULL,NULL,21,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL
Retn,NULL,NULL,0,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
S100b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
Kcnj6,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Map2k1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Foxo3,NULL,NULL,NULL,NULL,NULL,15,NULL,12,13,NULL,NULL,NULL
Itga4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Gdnf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Ephx1,NULL,12,12,10,9,12,NULL,12,NULL,11,11,NULL
Ets1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,4,0,NULL
Eng,NULL,NULL,NULL,NULL,NULL,19,NULL,21,NULL,NULL,NULL,NULL
Itga6,0,NULL,3,NULL,NULL,3,NULL,22,NULL,NULL,NULL,3
Ptpn22,NULL,NULL,NULL,NULL,21,NULL,NULL,2,NULL,5,22,NULL
Cdkn1c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,18,NULL,NULL
Id1,NULL,NULL,6,NULL,13,NULL,15,NULL,NULL,NULL,NULL,NULL
Adam17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,19,23,NULL,NULL
Gjb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,3,NULL,NULL,NULL
Mtr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Mll1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
G6pdx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,23,NULL
Ccne1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Apoa5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Nfkb2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Pah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Sdc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Nrp1,NULL,NULL,NULL,NULL,NULL,5,NULL,22,NULL,0,NULL,NULL
F2rl1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Erbb3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,NULL,NULL
Fgf1,NULL,NULL,22,NULL,NULL,NULL,NULL,0,18,NULL,NULL,NULL
Cx3cr1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Polr2a,NULL,6,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL
Tshr,2,0,0,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
Xrcc3,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Bace1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,22,12,4,NULL
Hprt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Htr2c,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ednrb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,12,6,NULL
Cd34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,8,NULL,NULL
Cdkn2b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Aqp1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Irf3,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tgfb3,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Angpt1,NULL,NULL,22,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Fga,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,23,NULL,NULL,22
Tnfsf13b,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ntf3,18,19,NULL,NULL,NULL,NULL,NULL,17,NULL,22,NULL,NULL
Igf2r,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angpt2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,19
Krt8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,0,NULL,NULL,NULL
Tgm2,NULL,NULL,NULL,NULL,NULL,17,NULL,0,22,NULL,NULL,NULL
Stk11,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Id2,22,NULL,NULL,3,NULL,NULL,NULL,19,0,NULL,22,NULL
Cryab,NULL,NULL,NULL,22,21,NULL,NULL,NULL,NULL,NULL,NULL,22
Ezr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Irs2,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,7,NULL
Pmp22,NULL,NULL,NULL,NULL,4,12,NULL,NULL,NULL,NULL,NULL,NULL
Cyp21a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Cflar,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL
Gnaq,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Adm,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,22,NULL,NULL
Hspb1,22,20,21,19,19,NULL,19,18,20,19,NULL,NULL
Clock,22,0,1,NULL,2,0,NULL,22,23,23,1,0
Mt1,NULL,12,11,NULL,15,14,10,6,NULL,NULL,NULL,NULL
Olig2,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Psen2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Abcc1,NULL,NULL,16,NULL,NULL,12,7,NULL,NULL,7,NULL,NULL
Hhex,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Sftpa1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL
Itgal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Inhba,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pkd1,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Prkcq,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Xpa,5,NULL,8,8,NULL,10,NULL,6,4,NULL,NULL,NULL
Akt2,NULL,NULL,10,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Epha4,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Itpr1,21,NULL,NULL,NULL,NULL,23,NULL,NULL,16,2,1,21
Myo5a,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dbh,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gck,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,15,NULL,NULL,NULL
Atp7a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Erbb4,NULL,NULL,7,NULL,NULL,12,NULL,7,7,NULL,NULL,NULL
Rps6kb1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15
Scgb1a1,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Klk1b1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Bmpr1a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Bsg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Lama2,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL,7,NULL,NULL
Rel,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,22,22
Smarca4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,21,NULL,NULL,NULL
Klk1b4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Ncoa3,15,NULL,NULL,NULL,NULL,17,NULL,13,19,15,NULL,NULL
Ada,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL
Gpi1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Timp3,15,16,13,13,13,14,NULL,NULL,16,15,NULL,NULL
Per2,14,14,13,13,15,13,12,14,15,13,11,14
Ccr7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Cd274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Gap43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
C4b,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Calr,NULL,22,NULL,22,21,23,22,22,23,22,0,NULL
Dpp4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Snap25,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Efnb2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Hspd1,19,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL,NULL
Fgg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,NULL,NULL,NULL
Adh1,NULL,NULL,13,NULL,NULL,13,NULL,16,18,14,14,18
Skp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
Ywhaz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Men1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Nfatc2,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prox1,NULL,NULL,21,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
Klrk1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Itga3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Tfrc,14,NULL,NULL,NULL,NULL,NULL,NULL,21,17,18,NULL,NULL
Npc1,10,NULL,9,NULL,NULL,10,NULL,NULL,9,22,7,NULL
Gria1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Hspa8,18,19,20,NULL,NULL,NULL,NULL,NULL,16,17,NULL,21
Epas1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Lgals1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Cst3,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ikbkg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Syk,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Rora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Srf,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL
Alpl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Msh6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Gata2,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,23,NULL
Gli2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14
Tacr1,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Top2a,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL
Itgb4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Flt4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Eln,NULL,22,NULL,NULL,NULL,0,NULL,NULL,NULL,23,NULL,NULL
Ccnd3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Dnmt3b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Igfbp1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Ntrk3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Lyz2,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pla2g4a,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rbpj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Was,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
Per1,10,11,11,11,12,10,12,11,11,11,10,12
Htr1b,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Thbd,NULL,NULL,NULL,16,NULL,18,20,19,NULL,NULL,NULL,23
Arnt,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,19,14,NULL,NULL
Car2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Cdh5,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Il6ra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,12,14,NULL,12
Rarg,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Ucp1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mef2c,NULL,NULL,NULL,22,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Mtrr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Klk1b24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL
Fhit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Cxcl12,NULL,NULL,NULL,20,NULL,NULL,NULL,15,17,5,NULL,7
Pim1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,21
Nat2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Lcn2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Anxa2,NULL,NULL,0,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Gusb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Gja5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Nr1h2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,6,11,NULL,NULL
Col4a1,NULL,NULL,1,NULL,NULL,2,NULL,2,NULL,4,3,2
Cdk9,NULL,8,8,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL
Mme,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,20,NULL,21
Hdac3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Hnf1b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Col3a1,NULL,NULL,0,NULL,NULL,4,NULL,NULL,NULL,2,NULL,NULL
Atp7b,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Cd74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Ilk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Lrp5,21,NULL,NULL,NULL,NULL,22,NULL,NULL,0,NULL,NULL,NULL
Myo7a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Krt18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Apaf1,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ciita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Dicer1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
Pdgfa,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scnn1a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,23,14,NULL,NULL
Aqp4,NULL,NULL,NULL,NULL,4,13,NULL,NULL,NULL,NULL,NULL,NULL
Fgfr4,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hsf1,NULL,NULL,NULL,22,NULL,23,NULL,21,NULL,NULL,NULL,NULL
Adora1,NULL,NULL,11,NULL,NULL,12,NULL,NULL,9,NULL,NULL,13
Cyp2b10,NULL,19,19,NULL,NULL,NULL,NULL,NULL,21,14,NULL,NULL
Cacna1c,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Sgk1,NULL,NULL,NULL,12,NULL,NULL,12,16,NULL,NULL,NULL,NULL
Serpinc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Kcnma1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Park7,NULL,NULL,23,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL
Dcn,NULL,NULL,NULL,14,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Furin,NULL,NULL,7,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Tsc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Tbx5,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL
Eda,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Hspg2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Dag1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Atf2,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Cd38,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,19,NULL,0,NULL
Inha,NULL,NULL,NULL,NULL,20,17,NULL,NULL,NULL,NULL,NULL,NULL
Pdpk1,NULL,NULL,NULL,22,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
S100a4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Slc1a3,10,11,14,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Sphk1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,9,NULL,NULL
Map3k5,NULL,NULL,7,NULL,NULL,22,NULL,22,11,NULL,NULL,NULL
Hbegf,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nme1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Notch4,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Xpo1,NULL,NULL,NULL,NULL,NULL,NULL,21,20,NULL,NULL,NULL,NULL
Ucp3,NULL,8,8,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,18
Abcc2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,10,NULL,NULL,NULL
Csnk2a2,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Bcar1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,8,7,NULL,NULL
Hsd11b1,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,20,17,NULL,NULL
Yy1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,11,NULL,10
Smo,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Txn1,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Igfbp5,0,NULL,19,NULL,NULL,NULL,NULL,1,NULL,6,NULL,NULL
Rbp4,NULL,NULL,21,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adrbk1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Col18a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4,NULL,NULL
Ezh2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Pax5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Tpmt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Grn,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
H2-T23,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,23,NULL
Blm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
Elavl1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
Top1,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,15,14,NULL,16
Pkd2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Rbl2,NULL,NULL,NULL,19,NULL,NULL,19,NULL,5,NULL,NULL,NULL
Utrn,NULL,NULL,20,22,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sp3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Prkar1a,NULL,NULL,NULL,NULL,NULL,2,0,NULL,4,NULL,NULL,NULL
Ctnnd1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Axin2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Dnmt3a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Ptger4,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL
Nr4a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Prkci,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Chrna4,NULL,NULL,NULL,NULL,8,NULL,NULL,23,22,NULL,NULL,NULL
Enpp1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Acan,NULL,15,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Prkaa1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ncor2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Smarcb1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22,NULL,NULL,NULL
Aldh1a2,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bmp6,NULL,NULL,13,NULL,NULL,17,NULL,NULL,NULL,4,NULL,NULL
Ceacam1,NULL,NULL,NULL,22,23,NULL,NULL,NULL,1,19,NULL,NULL
Lamc1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prkaa2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,14,12,NULL,NULL
Ran,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
Lyst,NULL,NULL,18,NULL,NULL,NULL,17,NULL,16,NULL,NULL,NULL
Xbp1,NULL,NULL,NULL,20,NULL,0,NULL,17,NULL,NULL,NULL,NULL
Spry2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Sqstm1,NULL,9,NULL,NULL,12,NULL,NULL,NULL,2,13,NULL,NULL
Adam10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Add1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Vcp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,6,NULL,NULL
Slc9a1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,7
Ppp2ca,21,NULL,23,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,21
Nampt,15,NULL,17,NULL,NULL,16,NULL,15,14,13,NULL,17
Ccl11,10,10,11,NULL,NULL,10,NULL,NULL,NULL,NULL,9,NULL
Arrb1,NULL,NULL,3,NULL,NULL,NULL,NULL,1,21,21,23,NULL
Igfbp2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Pgk1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,14,NULL,NULL
Polb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Lamb1,NULL,6,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
Rbl1,19,NULL,NULL,NULL,NULL,NULL,NULL,0,19,NULL,NULL,NULL
Tardbp,NULL,NULL,NULL,NULL,NULL,NULL,22,20,23,NULL,NULL,NULL
Cdk6,NULL,12,13,NULL,NULL,NULL,NULL,3,8,NULL,NULL,NULL
A2m,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wnt7a,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
