gene_symbol,acrophase
Eif4e2,16.0
Eif4ebp1,0.0
Eif5,16.0
Eif5a,8.0
Eif6,8.0
Elmo2,8.0
Elof1,16.0
Elp2,8.0
Elp3,16.0
Elp5,8.0
Emc3,16.0
Emc6,8.0
Emc7,8.0
Emc8,8.0
Eme1,16.0
Emp3,16.0
Enkd1,8.0
Enoph1,0.0
Eny2,8.0
Epb4.1l2,8.0
Eprs,8.0
Erap1,8.0
Ercc6l,8.0
Ergic1,8.0
Ergic2,8.0
Erh,8.0
Eri3,8.0
Erlin1,8.0
Erp29,8.0
Erp44,8.0
Esco2,16.0
Etf1,8.0
Etfa,8.0
Etfb,8.0
Ethe1,8.0
Ewsr1,16.0
Exo1,8.0
Exoc1,16.0
Exoc3,0.0
Exoc4,8.0
Exoc6,8.0
Exosc1,8.0
Exosc10,8.0
Exosc2,8.0
Exosc3,8.0
Exosc4,0.0
Exosc5,8.0
Exosc7,8.0
Exosc8,8.0
Exosc9,8.0
Ezh2,8.0
Ezr,8.0
Fabp5,8.0
Fahd1,0.0
Faim,16.0
Fam105a,8.0
Fam111a,8.0
Fam120a,8.0
Fam136a,8.0
Fam162a,8.0
Fam165b,8.0
Fam173a,0.0
Fam175a,0.0
Fam175b,16.0
Fam178a,8.0
Fam192a,8.0
Fam195a,8.0
Fam195b,8.0
Fam36a,16.0
Fam45a,8.0
Fam50a,8.0
Fam54a,16.0
Fam60a,8.0
Fam64a,16.0
Fam69a,8.0
Fam73a,16.0
Fam82a2,8.0
Fam92a,8.0
Fam96a,8.0
Fam96b,8.0
Fanca,8.0
Fancd2,16.0
Fancg,8.0
Fanci,8.0
Fancl,0.0
Fars2,16.0
Farsa,8.0
Farsb,8.0
Fasn,0.0
Fastk,8.0
Fastkd2,8.0
Fastkd3,8.0
Fbl,8.0
Fbp1,16.0
Fbxo22,16.0
Fbxo34,16.0
Fbxo5,8.0
Fbxo7,8.0
Fcho1,16.0
Fdps,0.0
Fdxacb1,16.0
Fdxr,8.0
Fen1,8.0
Fgfr1op,16.0
Fh1,8.0
Fibp,16.0
Fignl1,8.0
Fkbp11,8.0
Fkbp2,8.0
Fkbp3,8.0
Fkbp4,8.0
Flna,0.0
Flot2,8.0
Fntb,8.0
Foxred1,16.0
Fto,8.0
Ftsj3,8.0
Ftsjd2,16.0
Fubp1,0.0
Fundc2,8.0
Fxc1,8.0
Fxn,8.0
Fyttd1,0.0
G2e3,16.0
G3bp1,8.0
G3bp2,8.0
G6pc3,8.0
Gabpa,16.0
Gabpb1,16.0
Gadd45gip1,8.0
Galk1,8.0
Galk2,0.0
Galns,8.0
Galnt1,8.0
Ganab,16.0
Gars,0.0
Gart,8.0
Gas2l3,16.0
Gatm,8.0
Gcat,8.0
Gcfc1,0.0
Gcn1l1,8.0
Gcsh,8.0
Gemin5,8.0
Gemin6,16.0
Gfm1,8.0
Ggta1,16.0
Ghitm,8.0
Gid4,8.0
Gigyf2,16.0
Gimap9,8.0
Gins1,0.0
Gins2,8.0
Gins3,8.0
Gins4,8.0
Gipc1,8.0
Gle1,16.0
Glipr1,16.0
Glod4,8.0
Glrx3,8.0
Gltp,8.0
Glyr1,16.0
Gm11974,8.0
Gm16286,8.0
Gm20425,0.0
Gm20427,8.0
Gm20708,8.0
Gm3604,8.0
Gm5577,16.0
Gm561,8.0
Gm5665,0.0
Gmds,8.0
Gmnn,8.0
Gmps,0.0
Gna15,16.0
Gnai3,16.0
Gnb1l,8.0
Gng10,8.0
Gng12,8.0
Gng5,8.0
Gnl3,8.0
Gnpat,16.0
Gnpnat1,8.0
Golm1,16.0
Golt1b,8.0
Gon4l,16.0
Got1,0.0
Got2,0.0
Gpaa1,8.0
Gpatch4,0.0
Gpatch8,16.0
Gpd1l,0.0
Gpd2,8.0
Gpkow,16.0
Gpn3,16.0
Gpr89,8.0
Gps1,8.0
Gps2,0.0
Gpx4,8.0
Grpel1,8.0
Grwd1,8.0
Gstp1,8.0
Gtf2a1,16.0
Gtf2a2,16.0
Gtf2e2,8.0
Gtf2f1,8.0
Gtf2f2,8.0
Gtf2h2,8.0
Gtf2h4,0.0
Gtf2h5,8.0
Gtf3a,8.0
Gtf3c5,16.0
Gtl3,16.0
Gtpbp10,8.0
Gtpbp4,16.0
Gtse1,16.0
Gusb,8.0
H2-Ke2,16.0
H2afj,8.0
H2afx,16.0
H2afy,8.0
H2afz,8.0
Haghl,8.0
Hars,0.0
Hat1,8.0
Haus1,8.0
Haus3,16.0
Haus4,8.0
Haus5,8.0
Haus6,0.0
Haus7,8.0
Haus8,8.0
Hax1,16.0
Hbs1l,16.0
Hbxip,16.0
Hcst,0.0
Hdac10,0.0
Hdac3,8.0
Hdac6,8.0
Hdac8,16.0
Hddc2,8.0
Hdgf,8.0
Hdlbp,8.0
Heatr1,8.0
Hells,8.0
Hemgn,8.0
Herpud1,16.0
Hexa,8.0
Higd1a,8.0
Higd2a,16.0
Hint1,8.0
Hirip3,8.0
Hist1h1a,8.0
Hist1h1b,16.0
Hist1h1e,16.0
Hist1h2ab,8.0
Hist1h2ae,8.0
Hist1h2ao,8.0
Hist1h2ap,8.0
Hist1h2bg,16.0
Hist1h2bj,16.0
Hist1h2bm,16.0
Hist1h4c,16.0
Hist1h4d,16.0
Hist1h4h,16.0
Hist1h4i,8.0
Hist1h4m,16.0
Hist2h2aa2,16.0
Hist2h2ac,16.0
Hjurp,16.0
Hltf,16.0
Hmbs,8.0
Hmga1,0.0
Hmgb1,16.0
Hmgb2,16.0
Hmgb3,16.0
Hmgcr,16.0
Hmgn1,8.0
Hmgn2,16.0
Hmgn5,16.0
Hmgxb4,8.0
Hmmr,16.0
Hn1,16.0
Hn1l,8.0
Hnrnpa0,0.0
Hnrnpa1,8.0
Hnrnpa3,8.0
Hnrnpab,8.0
Hnrnpf,8.0
Hnrnpm,8.0
Hnrnpu,0.0
Hnrpdl,8.0
Hp1bp3,16.0
Hprt,8.0
Hsbp1,16.0
Hsd17b12,0.0
Hsdl1,16.0
Hsp90aa1,8.0
Hsp90b1,8.0
Hspa13,16.0
Hspa14,8.0
Hspa4,0.0
Hspa5,8.0
Hspa9,8.0
Hspbp1,8.0
Hspd1,8.0
Hspe1,8.0
Htra2,8.0
Iars,16.0
Ica1,8.0
Icam2,16.0
Icam4,0.0
Ict1,8.0
Ide,8.0
Idh2,8.0
Idh3a,8.0
